Title,URL,VisitCount,LastVisitTime
AliEхpress | Интернет-магазин | Официальный сайт,https://s.click.aliexpress.ru/e/_DD3gNJp?af=739_630324&cn=2urusj8hzpyjj4vm036pfs7seoh9t4kw&cv=3&cv_source=default&dp=2urusj8hzpyjj4vm036pfs7seoh9t4kw&sub=630324&sub1=1068989&utm_campaign=630324&utm_content=1068989&utm_medium=cpa&utm_source=admitad,2,2024-09-03T11:16:49.134853+05:00
Уроки печати: ва ол - Русская раскладка / Клавиатурный тренажер Stamina-online,https://stamina-online.com/ru/workout/lesson/1,2,2024-11-13T05:52:43.307725+05:00
Уроки печати - Русская раскладка / Клавиатурный тренажер Stamina-online,https://stamina-online.com/ru/lessons/ru,2,2024-11-08T09:40:44.162472+05:00
Клавиатурный тренажер Stamina-online,https://stamina-online.com/ru,2,2024-11-08T09:40:41.319203+05:00
скретч онлайн - Поиск в Google,https://www.google.com/search?client=opera&q=%D1%81%D0%BA%D1%80%D0%B5%D1%82%D1%87+%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD&sourceid=opera&ie=UTF-8&oe=UTF-8,2,2024-09-25T04:08:58.830851+05:00
только не гдз - Поиск в Google,https://www.google.com/search?client=opera&q=%D1%82%D0%BE%D0%BB%D1%8C%D0%BA%D0%BE+%D0%BD%D0%B5+%D0%B3%D0%B4%D0%B7&sourceid=opera&ie=UTF-8&oe=UTF-8,2,2024-09-05T12:57:16.621821+05:00
AliEхpress | Интернет-магазин | Официальный сайт,https://login.aliexpress.ru/aer-api/v2/bx/session/v1/web/aer-cookie/set-directly?cookie_sync_parameters=yUTFxOBqV2Yd6Yp%2Bu7zFXEvj40U55goUWsqQmVG2mdMtpqxT%2BZVUggSbqjsHfk2stULK9p4xGLZCvcL0vW67At%2FcViyGTfFSUw%2BZfoH7MlIrQ4K2gMl0Vep32WciC8dEYOdN%2BenspyiS7sRl%2FAwlm1c8hylBIIBWYGAgGjuNct%2B1iTrSqc%2BgNc%2Fxgrimr4PC0q33m28ZPlN915VhjYzR8oxPu%2FFcwOYMyrBInKZCLW9JixhQxENdNJoRLWjs5Wl9LfJTssA3DqArZI73AV49b9Nm0iEeDENJw92lOliXxxfB4xf6ECGoMW8ao2i7rP7%2F%2BPLpTfqNb4wJOERwoDKaEP64CTpRNhdwE5wXDU%2FaHM7SvFAr5Fh9usBujZ2hOgA989ZjOSuYfH807cvcIobOhu9K7MLim%2FUdUk2%2BAHPM5TQyza0100G%2BUHzmm%2FssLqTz9WTiCPUTUvp0v1E7oQaU%2Fw%3D%3D,1,2024-09-03T11:16:49.134853+05:00
1XBET - Букмекерская контора ᐉ Сделать ставки на спорт онлайн в Казахстане ᐉ 1xbet.kz,https://redirector.opera.com/redirect?type=syn&rid=875,1,2024-09-24T04:06:18.14184+05:00
AliEхpress | Интернет-магазин | Официальный сайт,https://aliexpress.ru/?af=739_630324&cn=2urusj8hzpyjj4vm036pfs7seoh9t4kw&cv=3&cv_source=default&dp=2urusj8hzpyjj4vm036pfs7seoh9t4kw&sub=630324&sub1=1068989&utm_campaign=630324&utm_content=1068989&utm_medium=cpa&utm_source=admitad&aff_fcid=95b60899173448f384f065c8a3be74b9-1725362201058-00733-_DD3gNJp&aff_fsk=_DD3gNJp&aff_platform=api-new-link-generate&sk=_DD3gNJp&aff_trace_key=95b60899173448f384f065c8a3be74b9-1725362201058-00733-_DD3gNJp&terminal_id=6e2278f6b87f40f6a266b20326dc3eab,1,2024-09-25T04:09:05.999761+05:00
AliEхpress | Интернет-магазин | Официальный сайт,https://aliclick.shop/r/u/739?to=https%3A%2F%2Faliexpress.ru&click_id=ee0219a49ab3e9645fd1d754163a09af&sub=630324&sub1=1068989&utm_source=admitad&utm_medium=cpa&utm_campaign=630324&utm_content=1068989&user_sub_id=630324,1,2024-09-03T11:16:49.134853+05:00
Banggood Русский: ведущий мировой интернет-магазин гаджетов и модной одежды,https://ad.admitad.com/g/e8f129b05ea47a83735c6213826a88/?subid=pc-kz-admitad-banggood-sd-cnqn,1,2024-09-17T04:17:35.748201+05:00
Banggood Русский: ведущий мировой интернет-магазин гаджетов и модной одежды,https://ru.banggood.com/?admitad_uid=b7a4e68abd6f75823daa33a1cfabfadb&utm_content=630324,1,2024-09-25T09:24:32.81924+05:00
excel - Поиск,https://www.bing.com/search?q=excel&pc=0OVP&ptag=N1234C999A354F7A8C3A&form=PCF101&conlogo=CT3210127,1,2024-09-17T04:17:37.553634+05:00
Free Online Spreadsheet Software: Excel | Microsoft 365,https://www.microsoft.com/en-us/microsoft-365/excel,1,2024-11-08T09:29:57.454577+05:00
карта казахстана - Поиск,https://www.bing.com/search?q=%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD%D0%B0&pc=0OVP&ptag=N1234C999A354F7A8C3A&form=PCF101&conlogo=CT3210127,1,2024-09-19T12:02:39.125823+05:00
карта казахстана - Поиск Изображения,https://www.bing.com/images/search?q=%D0%BA%D0%B0%D1%80%D1%82%D0%B0%20%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD%D0%B0&FORM=IQFRBA&id=FD3B54B704964F6A96F68B337BF55B3ABF2A4921,1,2024-09-19T12:03:05.336897+05:00
www.bing.com,https://www.bing.com/images/search?view=detailV2&ccid=4H9%2bMoHC&id=FD3B54B704964F6A96F68B337BF55B3ABF2A4921&thid=OIP.4H9-MoHCGNg7mGj8uZZ-nAHaFH&mediaurl=https%3a%2f%2fmap-rus.com%2fatlas%2fimages%2fKazakhstan.jpg&cdnurl=https%3a%2f%2fth.bing.com%2fth%2fid%2fR.e07f7e3281c218d83b9868fcb9967e9c%3frik%3dIUkqvzpb9Xsziw%26pid%3dImgRaw%26r%3d0&exph=1176&expw=1700&q=%d0%ba%d0%b0%d1%80%d1%82%d0%b0+%d0%ba%d0%b0%d0%b7%d0%b0%d1%85%d1%81%d1%82%d0%b0%d0%bd%d0%b0&simid=608042897529975911&FORM=IRPRST&ck=BB3C7BA84C4838A56A904F6DBA55C44D&selectedIndex=0&itb=0&idpp=overlayview&ajaxhist=0&ajaxserp=0,1,2024-11-08T09:29:56.250908+05:00
,https://u-edu.kz/login,1,2024-08-26T03:30:25.203135+05:00
1XBET - Букмекерская контора ᐉ Сделать ставки на спорт онлайн в Казахстане ᐉ 1xbet.kz,https://affpa.top/L?tag=d_386055m_53539c_KZ__[]allgamesentrance[]_d37416_l135964_button&site=386055&ad=53539,1,2024-09-24T04:06:18.14184+05:00
1XBET - Букмекерская контора ᐉ Сделать ставки на спорт онлайн в Казахстане ᐉ 1xbet.kz,https://1xbet.kz/?tag=d_386055m_53539c_KZ__[]allgamesentrance[]_d37416_l135964_button,1,2024-09-24T04:06:18.14184+05:00
1XBET - Букмекерская контора ᐉ Сделать ставки на спорт онлайн в Казахстане ᐉ 1xbet.kz,https://1xbet.kz/ru/?tag=d_386055m_53539c_KZ__%5B%5Dallgamesentrance%5B%5D_d37416_l135964_button,1,2024-09-24T04:06:21.77117+05:00
AliEхpress | Интернет-магазин | Официальный сайт,https://alitems.co/g/vv3q4oey1va47a83735cb6d1781017/?subid=pc-kz-admitad-aliexpress-sd-ptqh,1,2024-09-03T11:16:49.134853+05:00
"Scratch - Imagine, Program, Share",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwielZOvnN2IAxUIHRAIHTvjOpQQFnoECAsQAQ&url=https%3A%2F%2Fscratch.mit.edu%2F&usg=AOvVaw1ecUnbY5mOv-9N1Hi533P-&opi=89978449,1,2024-09-25T04:09:01.991266+05:00
"Scratch - Imagine, Program, Share",https://scratch.mit.edu/,1,2024-11-13T05:52:56.719182+05:00
стамина онлайн - Поиск,https://www.bing.com/search?q=%D1%81%D1%82%D0%B0%D0%BC%D0%B8%D0%BD%D0%B0+%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD&pc=0OVP&ptag=N1234C999A354F7A8C3A&form=PCF101&conlogo=CT3210127,1,2024-11-13T05:52:55.425488+05:00
Клавиатурный тренажер Stamina-online,https://stamina-online.com/,1,2024-11-08T09:40:40.820723+05:00
YouTube,https://www.youtube.com/,0,1601-01-01T00:00:00+05:00
Онлайн тестирование,https://ustudy-probtest.testcenter.kz/answer-map,0,2024-09-17T12:43:33.296579+05:00
Ustudy - платформа онлайн тестирования,http://u-edu.kz/login,0,2024-11-13T05:52:42.053837+05:00
